source_id	archive_path	disposition	source_kind	repository	source_ref	source_commit	original_path	sha256	captured_at	era_authority	current_status	sensitivity	license	notes
repo-agent-mesh-research	pointer-only/CAPTURED-SOURCE-ROOTS.md	pointer-only	git-directory	redtrades/agent-mesh	main	4a663596e1188e2b25116e71b74162bc92abbd96	/Users/man/agent-mesh/research	N/A-directory	2026-08-31	migration-evidence	local-working-tree	internal	unverified	26 of 28 tracked research documents captured after screening; two case-bearing originals excluded; mixed root not copied wholesale.
repo-agent-workspace	pointer-only/CAPTURED-SOURCE-ROOTS.md	pointer-only	git-directory	redtrades/agent-workspace	main	bc44e05be7c3d3f6e65c885e793c30c44b6eaa8b	/Users/man/agent-workspace	N/A-directory	2026-08-31	migration-evidence	local-working-tree	internal	unverified	22 screened historical documents captured; executable assets remain excluded; mixed root not copied wholesale.
repo-agent-configs	pointer-only/CAPTURED-SOURCE-ROOTS.md	pointer-only	git-directory	redtrades/agent-configs	main	6850fa3325c14d831bd1bdaa04d47dadd4c06d0c	/Users/man/agent-configs	N/A-directory	2026-08-31	migration-evidence	clean-local-tree	internal	unverified	12 screened historical documents captured; skills prompts hooks and configuration remain pointer-only.
repo-govcon	pointer-only/CAPTURED-SOURCE-ROOTS.md	pointer-only	git-directory	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory	N/A-directory	2026-08-31	migration-evidence	local-working-tree	restricted	unverified	16 ordinary and 41 separately routed GovCon documents captured; personal-case material excluded; mixed root not copied wholesale.
repo-buzz	pointer-only/UNRESOLVED-SOURCE-ROOTS.md	pointer-only	git-directory	block/buzz	main	631b05c883f58e9533e9038b4669ebdfb1d9cf27	/Users/man/.buzz/REPOS/buzz	N/A-directory	2026-08-31	external-prior-art	local-working-tree	internal	unverified	Pointer-first external source; local tree has uncommitted changes.
openclaw-system-history	pointer-only/OPENCLAW-SOURCES-AND-EXCLUSIONS.md	pointer-only	sealed-local-root			WORKING-TREE-ONLY	/Users/man/Library/Mobile Documents/com~apple~CloudDocs/09-Archive/OpenClaw-System-History	N/A-directory	2026-08-31	archive-evidence	sealed-local-root	restricted	unverified	175156 files observed; do not bulk copy or execute.
openclaw-project-export	pointer-only/OPENCLAW-SOURCES-AND-EXCLUSIONS.md	pointer-only	icloud-export			WORKING-TREE-ONLY	/Users/man/Library/Mobile Documents/com~apple~CloudDocs/09-Archive/Project-Exports/OpenClaw	N/A-directory	2026-08-31	archive-evidence	sealed-local-root	restricted	unverified	One exported file observed; later screening required.
openclaw-data-backup	pointer-only/OPENCLAW-SOURCES-AND-EXCLUSIONS.md	pointer-only	sealed-local-root			WORKING-TREE-ONLY	/Users/man/Library/Mobile Documents/com~apple~CloudDocs/07-Data-Backups/.openclaw	N/A-directory	2026-08-31	archive-evidence	sealed-local-root	highly-sensitive	unverified	32597 files observed; credentials and runtime state excluded.
reference-archives	pointer-only/REFERENCE-SOURCE-ROOTS.md	pointer-only	icloud-reference-root			WORKING-TREE-ONLY	/Users/man/Library/Mobile Documents/com~apple~CloudDocs/04-Dev-Code/20-Reference-Archives	N/A-directory	2026-08-31	archive-evidence	local-reference-root	restricted	unverified	175 files observed; select individual, non-executable documents only.
agent-reports	pointer-only/UNRESOLVED-SOURCE-ROOTS.md	pointer-only	local-only-root			WORKING-TREE-ONLY	/Users/man/agent-reports	N/A-directory	2026-08-31	migration-evidence	working-tree-only	internal	unverified	No Git commit resolved; screen reports individually.
untracked-candidates	pointer-only/UNRESOLVED-SOURCE-ROOTS.md	pointer-only	untracked-local-documents			WORKING-TREE-ONLY	/Users/man/Documents/Codex	N/A-directory	2026-08-31	migration-evidence	working-tree-only	mixed	unverified	Candidate documents only; do not treat a path as a committed source.
repo-agent-mesh:research/HUGGINGFACE-SOTA-MODELS-2026.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/HUGGINGFACE-SOTA-MODELS-2026.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/HUGGINGFACE-SOTA-MODELS-2026.md	8b6ecf235a3d63b875775920264644f7d6ea1408cc87cb21af494da1838dbcf7	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/research-x-intake.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/research-x-intake.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/research-x-intake.md	fa7efbb9e11b742c0a316deea700298699023132294be993c6aa45ca6f27fdc4	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/research-idea-factory-gtm.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/research-idea-factory-gtm.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/research-idea-factory-gtm.md	5e045c26ea286daeb10bb596502bb5fb69293e06b8b2b5d8e5104609b2dcaa65	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/omlx-qwen38-oq4e-hermes-desktop-2026-08-26.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/omlx-qwen38-oq4e-hermes-desktop-2026-08-26.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/omlx-qwen38-oq4e-hermes-desktop-2026-08-26.md	a69bdd31c76584f354cc08e0104b93e5f4b3bfc1ef2a16a54dab257c2ccb359d	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/omlx-qwen38-oq4e-installer-preflight-snapshot-2026-08-26.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/omlx-qwen38-oq4e-installer-preflight-snapshot-2026-08-26.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/omlx-qwen38-oq4e-installer-preflight-snapshot-2026-08-26.md	ca52397d7b0840eda4a6781186123d5fae6bcbbb974dea0d9d787572bc6efbb5	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/M1-MAX-ROOFLINE-MICROARCHITECTURE.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/M1-MAX-ROOFLINE-MICROARCHITECTURE.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/M1-MAX-ROOFLINE-MICROARCHITECTURE.md	971261f6ed5fd145c68608df2e04950ebe836fa5cd25c728f152fcfe19cd1dfc	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/omlx-qwen38-oq4e-setup-and-bench-2026-08-26.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/omlx-qwen38-oq4e-setup-and-bench-2026-08-26.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/omlx-qwen38-oq4e-setup-and-bench-2026-08-26.md	aa5dfccb3826fcc39798b069795183d7fdc230316069eb0ec798e9be2220f701	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/research-obsidian-vault.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/research-obsidian-vault.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/research-obsidian-vault.md	95be3844e4bc0542de83b40dfb8b28672992d36867e19352f70b163d46d2f993	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/METAL-KERNELS-PREFILL-BOTTLENECK.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/METAL-KERNELS-PREFILL-BOTTLENECK.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/METAL-KERNELS-PREFILL-BOTTLENECK.md	ffd1f930f68a217d14dade6a7c27ebac0bb7e66da07993be4eacd460b3ae2700	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/research-harnesses-councils.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/research-harnesses-councils.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/research-harnesses-councils.md	c7b0e503b5faf97a6a5366aa49ff506a0535fe41b5312acbf96a2fbf7cdbf994	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/APPLE-SILICON-INFERENCE-ENGINES.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/APPLE-SILICON-INFERENCE-ENGINES.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/APPLE-SILICON-INFERENCE-ENGINES.md	278fcbc4e7b38cb7b17c2725427f7a6b251e7f434174a7907145ee5d534df607	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
repo-agent-mesh:research/omlx-qwen38-oq4e-ideal-config-2026-08-26.md	corpus/first-party/agent-mesh/4a663596e1188e2b25116e71b74162bc92abbd96/research/omlx-qwen38-oq4e-ideal-config-2026-08-26.md	selected-copy	git-file	redtrades/agent-mesh	preserve/uncommitted-2026-08-29	4a663596e1188e2b25116e71b74162bc92abbd96	research/omlx-qwen38-oq4e-ideal-config-2026-08-26.md	8634722374575ef535a8f029d92e55d4f559c0a8abc23301ee8f62c1bdef73fc	2026-08-31	migration-evidence	local-working-tree	internal	unverified	commit bytes captured; source tree dirty only at .obsidian/workspace.json; inert historical documentation.
