source_id	archive_path	disposition	source_kind	repository	source_ref	source_commit	original_path	sha256	captured_at	era_authority	current_status	sensitivity	license	notes
govcon-openclaw-001	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/CHANGELOG.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/CHANGELOG.md	7998847086a4cbaf820de3d25804c86b3c941fbf494c7787def457ed8c3d5f76	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-002	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/DECISIONS.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/DECISIONS.md	5c1e31749dfb76f9b3fdec0accb0d609bf44e7a37710c149da2c2c005d70eab7	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-003	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/DESIGN-SYSTEM.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/DESIGN-SYSTEM.md	45f811ca034472ba6df455f4364ac11c7120ffae46a64cf616046075f357b424	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-004	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/specs/content-pipeline.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/specs/content-pipeline.md	a07377c325e40364b4fb0f2e39bef1a0eedd956ad0a7e16a9e6bf6f1b591c601	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-005	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/specs/factory-architecture.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/specs/factory-architecture.md	27cc2656e5c9bd5e7026e0b8b00f4f4f7acc62a10d4c86c1f2680be9fa6d0663	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-006	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/research/analyst-landscape/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/research/analyst-landscape/REPORT.md	195181f5a4659909366c98052aa873994fa0a8224ffb615f2d7bfd0f623dba83	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-007	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/research/competitive-assessment/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/research/competitive-assessment/REPORT.md	5a126bc84c47fb1f3eeeaba4c97137938f71fa259ea6ebba2469a6af35df9e9a	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-008	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/research/competitor-pain/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/research/competitor-pain/REPORT.md	e4b235c1d41e97fb2c7e6f27d70590b287e9ec15dc9147f39b7628087d1a0e30	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-009	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/govcon-prior-art/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/govcon-prior-art/REPORT.md	26a2176b07df3e2148e80933c761891e26359293b78b6f8e7704675d1b035c47	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-010	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/local-model-eval/CONFIG-VALIDATION.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/local-model-eval/CONFIG-VALIDATION.md	038af17ec018c7f5f9346d910c973bde769d9e5f3ccfa1943012f60427ead337	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-011	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/proposal-writing/PROPOSAL-RUBRIC.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/proposal-writing/PROPOSAL-RUBRIC.md	a53285f088776a12b39775c98529119a18d8bdea3aecc7d225c25b499890aefc	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-012	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/proposal-writing/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/proposal-writing/REPORT.md	91495dbda943c5dc1f6aa419570f22b0922a828d67a4c8ff9ba61f971d8375d7	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-013	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/report-enhancements/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/report-enhancements/REPORT.md	d7aee91e93dde3aa527fa58216b7c5fa1c6dc1f6d127b83ccb3e4eb2ad74ae7d	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-014	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/self-improvement-roadmap-2026-08-24/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/self-improvement-roadmap-2026-08-24/REPORT.md	13fab4389e32254c7a52bc464ada5e2fdfc2fe57c460b54740653366cd87a81c	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-015	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/stack-selection/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/stack-selection/REPORT.md	a82875f6a3b50caadd779df1a485ded5062688dbdbca31591f0eee5c4f3866b5	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-016	corpus/first-party/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/research/swarm-retrospective/REPORT.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/research/swarm-retrospective/REPORT.md	89ffdc1c338926cc2084069f73c899d87157d7e8b34f46792710fe4774017e8f	2026-08-31	historical-govcon-research	historical-copy	internal	internal	narrative architecture, decision, or research record
govcon-openclaw-017	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/README.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/README.md	c4b3d3edfc4faeb16e62fbb1eaf425cb068ade4f60ecaccec6f86bb7d8142137	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-018	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/decisions/COMMANDER-HANDOFF.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/decisions/COMMANDER-HANDOFF.md	314921c6307ee6f0e860e31d0c9d913507bb9d0801edd22dc1e8cbf0d2bffb10	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-019	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/decisions/INTENT.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/decisions/INTENT.md	61a548fdfbe3aec854cf60101fc51f26cc21b90cdde64df07d12c46a6a968bd7	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-020	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/decisions/V3-MANIFESTO-AND-LESSONS-2026-05-22.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/decisions/V3-MANIFESTO-AND-LESSONS-2026-05-22.md	fd123c9777b24fcc36003080d2835961e698307b9769a0e0415ec86a06322c86	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-021	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/docs/CLAUDE-md-evolution.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/docs/CLAUDE-md-evolution.md	d682d2a7005ddc4e95706f4e2f619014e53a15796f3c81715652face83dd3488	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-022	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/docs/FIRST_PRINCIPLES_ARCHITECTURE_V2.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/docs/FIRST_PRINCIPLES_ARCHITECTURE_V2.md	029a814bf98a373dd6d42158f6ab62d52e570d1f6f26ac0b3907f7cc41bdf1e0	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-023	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/post-mortems/REPO-CLOSEOUT-2026-05-31.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/post-mortems/REPO-CLOSEOUT-2026-05-31.md	ce63d6d68d812cbe80f3ebcd8c72784d812f1a4298823a2c4eed4c4314a6eb26	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-024	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/post-mortems/sota-agent-swarms-gap-analysis-2026-05-23.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/post-mortems/sota-agent-swarms-gap-analysis-2026-05-23.md	638e6a5cf0c9e144ec8da470d87957e60a91ae085fde67fe391632163fc7ac33	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-025	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/post-mortems/sota-autonomous-coding-claude-2026-05-27.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/post-mortems/sota-autonomous-coding-claude-2026-05-27.md	7490d0843b8a750185cd1daae08618e2f2d0d09feade34fb75c650c82a54832b	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-026	corpus/first-party/openclaw/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/knowledge/archive/openclaw/post-mortems/sota-personal-agent-2026-05-31.md	selected-copy	git-file-via-archive	redtrades/govcon-factory <- redtrades/openclaw	main; issue-53 archive extraction	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/knowledge/archive/openclaw/post-mortems/sota-personal-agent-2026-05-31.md	0d40485785f712b74f0cff71bd185ec42d337762bd5209d45a17ab7ddea62bf5	2026-08-31	historical-openclaw-migration	historical-derived-copy	restricted	internal	multi-hop: redtrades/openclaw narrative observed in govcon-factory issue-53 archive
govcon-openclaw-027	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/SITE-PLAN.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/SITE-PLAN.md	c317bfe17b127dce68d4419a99bd7a7ad38a2032f08c1b98de3cb53c4a92071e	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-028	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/MARKETING.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/MARKETING.md	eb32debf3044555c59bbaaa08cb6433054d8488c01743a0b18dfd06bc082cdb6	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-029	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/PLAN-V3.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/PLAN-V3.md	fdc950e0a94da0082a32a1dbb5fe2584d5118fb41a97ad05f640528e4e2b66c9	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-030	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/PLAN-V4.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/PLAN-V4.md	ee3c25bd3267b831884cf07318aed594f3397d38b9264e2daf5257f9cb147b5e	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-031	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/PLAN-V5.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/PLAN-V5.md	6bd77acc141973a6ec153ab5e1d064f5131f7b1dbefe7f3c9bc4fddf1d85bbd4	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-032	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/PLAYBOOK.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/PLAYBOOK.md	31eda86cf96d4a12568ae6b82c3b6b3940bd46f9da4ac948f35c03132fa7bb2f	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-033	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/SOP-DELIVERABLES.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/SOP-DELIVERABLES.md	9a8a7579831c02e41468992d0fa6f4e59253702bfab7f7cef73074baa70481dc	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-034	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/plan-history/PLAN-V2.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/plan-history/PLAN-V2.md	b5b3b855e386f559463535ee5cd09e9631f57eade9dacd55c15fb567064038c0	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-035	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/plan-history/claim-ledger.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/plan-history/claim-ledger.md	eec096e424d890dbc3e15dee0724703d9a0b49ba5ad253df7e01a17ac8b73104	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-036	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/plan-history/fable-critique.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/plan-history/fable-critique.md	fbb00468e92891aeb847a825ea0682200a3d474a5543542bbad10d8f98a8fb07	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-037	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/plan-history/report.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/plan-history/report.md	4c6948f3c7f040d4afe9b353d4c3f511968033806913a246d1da11e30c2d0144	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-038	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/financial-model/SUMMARY-v2-standalone.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/financial-model/SUMMARY-v2-standalone.md	83cac88ca42c2ee35729300808f1b01d58ea8d285df43115d03c467a4633e126	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-039	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/financial-model/SUMMARY-v4.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/financial-model/SUMMARY-v4.md	ad8c2a670c9cd3a52a1b9a7c78a31fd0313fc6e85af9ed2d0621c301d0e8d074	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
govcon-openclaw-040	sensitive-annex/govcon-factory/512ad991401862482ad8595ca4fc0b97b519c2ad/sop/financial-model/SUMMARY-v5.md	selected-copy	git-file	redtrades/govcon-factory	main	512ad991401862482ad8595ca4fc0b97b519c2ad	/Users/man/govcon-factory/sop/financial-model/SUMMARY-v5.md	03ef8acb2c590cd984b6db972f0beaad823daa5214ba0a591f699ed5181b20d0	2026-08-31	historical-govcon-strategy	restricted-historical-copy	restricted	internal	restricted plan, financial, GTM, outreach, or business research record
